"trial","ref_position","var_area","response","correct","rt"
1,"L",8.49143858882599,"R",FALSE,2.68199992179871
2,"R",14.8988578889985,"L",TRUE,1.78200006484985
3,"L",11.8031848189421,"R",TRUE,2.30800008773804
4,"L",10.7658862574026,"R",TRUE,2.14100003242493
5,"R",13.6967330572661,"L",TRUE,2.03199982643127
6,"R",13.0992228856776,"L",TRUE,2.22300004959106
7,"L",8.09995142067783,"L",TRUE,2.77199983596802
8,"L",11.2809848389588,"R",TRUE,1.57500004768372
9,"R",9.48744681524113,"R",FALSE,1.78499984741211
10,"R",10.2896252297796,"R",FALSE,1.59200000762939
11,"R",11.3715469716117,"R",FALSE,1.80900001525879
12,"R",13.2525996796321,"L",TRUE,2.01699995994568
13,"L",11.7959254833404,"R",TRUE,1.70799994468689
14,"R",11.0431880166288,"L",TRUE,1.89100003242493
15,"L",8.16300087305717,"R",FALSE,0.496000051498413
16,"L",11.0811351083685,"R",TRUE,2.57399988174438
17,"L",8.56608791672625,"R",FALSE,1.79999995231628
18,"R",10.5791014116257,"L",TRUE,2.24399995803833
19,"L",12.5682697847951,"R",TRUE,1.69700002670288
20,"L",8.14095228770748,"R",FALSE,1.48599982261658
21,"L",11.4707331585232,"R",TRUE,1.36900019645691
22,"R",10.2271194036584,"R",FALSE,1.69000005722046
23,"L",14.1811597603373,"R",TRUE,1.2519998550415
24,"L",11.7332084919326,"R",TRUE,2.26800012588501
